(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49849;ADAPTADOR SOLDÁVEL DE PVC MARROMBOMBEIRO/ENCANADOR COM ENCARGOS COMPLEMENTARES ;ED-50374 ;hora  ;0,1400000;21,60;3,02;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50360;AJUDANTE DE ARMADOR COM ENCARGOSCURSO DE CAPACITAÇÃO PARA AJUDANTE DE ARMADOR (ENCARGOS COMPLEMENTARES) - HORISTA ;ED-5229 ;hora  ;1,0000000;0,10;0,10;
Serviço: ED-50360;AJUDANTE DE ARMADOR COM ENCARGOSEPI PARA AJUDANTE DE ARMADOR - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14665 ;hora  ;1,0000000;0,95;0,95;
Serviço: ED-50360;AJUDANTE DE ARMADOR COM ENCARGOSFERRAMENTAS PARA AJUDANTE DE ARMADOR - HORISTA (ENCARGOS COMPLEMENTARES) ;ED-14701 ;hora  ;1,0000000;0,58;0,58;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50363;AJUDANTE DE BOMBEIRO/ENCANADOR COMCURSO DE CAPACITAÇÃO PARA AUXILIAR DE ENCANADOR OU BOMBEIRO HIDRÁULICO ( ENCARGOS COMPLEMENTARES) - HORISTA ;ED-5227 ;hora  ;1,0000000;0,16;0,16;
Serviço: ED-50363;AJUDANTE DE BOMBEIRO/ENCANADOR COMEPI PARA AJUDANTE DE BOMBEIRO/ENCANADOR - HORISTA (ENCARGOS COMPLEMENTARES) ;ED-14645 ;hora  ;1,0000000;0,80;0,80;
Serviço: ED-50363;AJUDANTE DE BOMBEIRO/ENCANADOR COMFERRAMENTAS PARA AJUDANTE DE BOMBEIRO/ ENCANADOR - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14681 ;hora  ;1,0000000;0,28;0,28;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50361;AJUDANTE DE CARPINTEIRO COM ENCARGOSCURSO DE CAPACITAÇÃO PARA AJUDANTE DE CARPINTEIRO (ENCARGOS COMPLEMENTARES) - HORISTA ;ED-5232 ;hora  ;1,0000000;0,14;0,14;
Serviço: ED-50361;AJUDANTE DE CARPINTEIRO COM ENCARGOSEPI PARA AJUDANTE DE CARPINTEIRO - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14666 ;hora  ;1,0000000;1,05;1,05;
Serviço: ED-50361;AJUDANTE DE CARPINTEIRO COM ENCARGOSFERRAMENTAS PARA AJUDANTE DE CARPINTEIRO - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14702 ;hora  ;1,0000000;0,38;0,38;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50362;AJUDANTE DE ELETRICISTA COM ENCARGOSCURSO DE CAPACITAÇÃO PARA AUXILIAR DE ELETRICISTA (ENCARGOS COMPLEMENTARES) - HORISTA ;ED-5225 ;hora  ;1,0000000;0,33;0,33;
Serviço: ED-50362;AJUDANTE DE ELETRICISTA COM ENCARGOSEPI PARA AJUDANTE DE ELETRICISTA - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14646 ;hora  ;1,0000000;0,91;0,91;
Serviço: ED-50362;AJUDANTE DE ELETRICISTA COM ENCARGOSFERRAMENTAS PARA AJUDANTE DE ELETRICISTA - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14682 ;hora  ;1,0000000;0,62;0,62;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50365;AJUDANTE DE PINTOR COM ENCARGOSCURSO DE CAPACITAÇÃO PARA AJUDANTE DE PINTOR (ENCARGOS COMPLEMENTARES)- HORISTA ;ED-5251 ;hora  ;1,0000000;0,13;0,13;
Serviço: ED-50365;AJUDANTE DE PINTOR COM ENCARGOSEPI PARA PINTOR - HORISTA (ENCARGOS COMPLEMENTARES) ;ED-14660 ;hora  ;1,0000000;1,33;1,33;
Serviço: ED-50365;AJUDANTE DE PINTOR COM ENCARGOSFERRAMENTAS PARA PINTOR - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14696 ;hora  ;1,0000000;1,27;1,27;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50364;AJUDANTE DE TELHADISTA COM ENCARGOSCURSO DE CAPACITAÇÃO PARA AJUDANTE DE TELHADISTA (ENCARGOS COMPLEMENTARES)- HORISTA ;ED-5252 ;hora  ;1,0000000;0,14;0,14;
Serviço: ED-50364;AJUDANTE DE TELHADISTA COM ENCARGOSEPI PARA AJUDANTE DE TELHADISTA - HORISTA ( ENCARGOS COMPLEMENTARES) ;ED-14667 ;hora  ;1,0000000;1,05;1,05;
Serviço: ED-50364;AJUDANTE DE TELHADISTA COM ENCARGOSFERRAMENTAS PARA AJUDANTE DE TELHADISTA - HORISTA (ENCARGOS COMPLEMENTARES) ;ED-14703 ;hora  ;1,0000000;0,38;0,38;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-50366;AJUDANTE ESPECIALIZADO COM ENCARGOSCURSO DE CAPACITAÇÃO PARA AJUDANTE ESPECIALIZADO ( ENCARGOS COMPLEMENTARES) - HORISTA ;ED-5234 ;hora  ;1,0000000;0,12;0,12;
Serviço: ED-50366;AJUDANTE ESPECIALIZADO COM ENCARGOSEPI PARA AJUDANTE ESPECIALIZADO - HORISTA (ENCARGOS COMPLEMENTARES) ;ED-14644 ;hora  ;1,0000000;1,01;1,01;
Serviço: ED-50366;AJUDANTE ESPECIALIZADO COM ENCARGOSFERRAMENTAS PARA AJUDANTE ESPECIALIZADO - HORISTA (ENCARGOS COMPLEMENTARES) ;ED-14680 ;hora  ;1,0000000;0,41;0,41;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-52306;AJUDANTE IMPERMEABILIZADOR COMCURSO DE CAPACITAÇÃO PARA AJUDANTE DE APLICADOR DE IMPERMEABILIZAÇÃO ( ENCARGOS COMPLEMENTARES)- HORISTA ;ED-5253 ;hora  ;1,0000000;0,17;0,17;
Serviço: ED-52306;AJUDANTE IMPERMEABILIZADOR COMEPI PARA AJUDANTE IMPERMEABILIZADOR - HORISTA (ENCARGOS COMPLEMENTARES) ;ED-14662 ;hora  ;1,0000000;1,01;1,01;
Serviço: ED-52306;AJUDANTE IMPERMEABILIZADOR COMFERRAMENTAS PARA AJUDANTE IMPERMEABILIZADOR - HORISTA (ENCARGOS COMPLEMENTARES) ;ED-14698 ;hora  ;1,0000000;0,41;0,41;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48611;ALA DE GALERIA CELULAR B = 1,20 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,6100000;70,69;184,50;
Serviço: ED-48611;ALA DE GALERIA CELULAR B = 1,20 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;22,4900000;53,25;1.197,59;
Serviço: ED-48611;ALA DE GALERIA CELULAR B = 1,20 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;8,7200000;509,88;4.446,15;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48612;ALA DE GALERIA CELULAR B = 1,30 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,6400000;70,69;186,62;
Serviço: ED-48612;ALA DE GALERIA CELULAR B = 1,30 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;23,8300000;53,25;1.268,94;
Serviço: ED-48612;ALA DE GALERIA CELULAR B = 1,30 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;9,0200000;509,88;4.599,11;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48613;ALA DE GALERIA CELULAR B = 1,40 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,6700000;70,69;188,74;
Serviço: ED-48613;ALA DE GALERIA CELULAR B = 1,40 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;25,1600000;53,25;1.339,77;
Serviço: ED-48613;ALA DE GALERIA CELULAR B = 1,40 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;9,3200000;509,88;4.752,08;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48614;ALA DE GALERIA CELULAR B = 1,50 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,7000000;70,69;190,86;
Serviço: ED-48614;ALA DE GALERIA CELULAR B = 1,50 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;26,4900000;53,25;1.410,59;
Serviço: ED-48614;ALA DE GALERIA CELULAR B = 1,50 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;9,6300000;509,88;4.910,14;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48615;ALA DE GALERIA CELULAR B = 1,60 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;2,6500000;405,28;1.073,99;
Serviço: ED-48615;ALA DE GALERIA CELULAR B = 1,60 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;151,8000000;13,88;2.106,98;
Serviço: ED-48615;ALA DE GALERIA CELULAR B = 1,60 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,7400000;70,69;193,69;
Serviço: ED-48615;ALA DE GALERIA CELULAR B = 1,60 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;27,8200000;53,25;1.481,41;
Serviço: ED-48615;ALA DE GALERIA CELULAR B = 1,60 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;9,9300000;509,88;5.063,10;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48616;ALA DE GALERIA CELULAR B = 1,70 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;2,7000000;405,28;1.094,25;
Serviço: ED-48616;ALA DE GALERIA CELULAR B = 1,70 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;155,1000000;13,88;2.152,78;
Serviço: ED-48616;ALA DE GALERIA CELULAR B = 1,70 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,7700000;70,69;195,81;
Serviço: ED-48616;ALA DE GALERIA CELULAR B = 1,70 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;29,1500000;53,25;1.552,23;
Serviço: ED-48616;ALA DE GALERIA CELULAR B = 1,70 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;10,2500000;509,88;5.226,27;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48617;ALA DE GALERIA CELULAR B = 1,80 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;2,7500000;405,28;1.114,52;
Serviço: ED-48617;ALA DE GALERIA CELULAR B = 1,80 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;157,9000000;13,88;2.191,65;
Serviço: ED-48617;ALA DE GALERIA CELULAR B = 1,80 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,8000000;70,69;197,93;
Serviço: ED-48617;ALA DE GALERIA CELULAR B = 1,80 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;30,4900000;53,25;1.623,59;
Serviço: ED-48617;ALA DE GALERIA CELULAR B = 1,80 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;10,5600000;509,88;5.384,33;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48618;ALA DE GALERIA CELULAR B = 1,90 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;2,8000000;405,28;1.134,78;
Serviço: ED-48618;ALA DE GALERIA CELULAR B = 1,90 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;163,4000000;13,88;2.267,99;
Serviço: ED-48618;ALA DE GALERIA CELULAR B = 1,90 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,8300000;70,69;200,05;
Serviço: ED-48618;ALA DE GALERIA CELULAR B = 1,90 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;31,8200000;53,25;1.694,41;
Serviço: ED-48618;ALA DE GALERIA CELULAR B = 1,90 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;10,8700000;509,88;5.542,39;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48619;ALA DE GALERIA CELULAR B = 2,00 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;2,8500000;405,28;1.155,04;
Serviço: ED-48619;ALA DE GALERIA CELULAR B = 2,00 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;172,4000000;13,88;2.392,91;
Serviço: ED-48619;ALA DE GALERIA CELULAR B = 2,00 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,8600000;70,69;202,17;
Serviço: ED-48619;ALA DE GALERIA CELULAR B = 2,00 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;33,1500000;53,25;1.765,23;
Serviço: ED-48619;ALA DE GALERIA CELULAR B = 2,00 M,FORNECIMENTO DE CONCRETO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA, COM FCK 20 MPA, INCLUSIVE LANÇAMENTO, ADENSAMENTO E ACABAMENTO (FUNDAÇÃO) ;ED-49786 ;m3    ;11,1900000;509,88;5.705,55;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-48620;ALA DE GALERIA CELULAR B = 2,10 M,CONCRETO PARA BERÇO DE REDE TUBULAR TRAÇO 1:3:6, INCLUSIVE LANÇAMENTO ;ED-48570 ;m3    ;2,9000000;405,28;1.175,31;
Serviço: ED-48620;ALA DE GALERIA CELULAR B = 2,10 M,CORTE, DOBRA E MONTAGEM DE AÇO CA-50/ 60 ;ED-48298 ;Kg    ;182,9000000;13,88;2.538,65;
Serviço: ED-48620;ALA DE GALERIA CELULAR B = 2,10 M,ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MAIOR QUE 1,5M E MENOR  OU IGUAL 3,0M ;ED-51108 ;m3    ;2,9000000;70,69;205,00;
Serviço: ED-48620;ALA DE GALERIA CELULAR B = 2,10 M,FORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X), EXCLUSIVE ESCORAMENTO ;ED-49645 ;m2    ;34,4800000;53,25;1.836,06;
